TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1610612738,Boston Celtics,9,5,4,0.556,432.0,321,757,0.424,102,297,0.343,175,218,0.803,67,363,430,193,133.0,53,34,39,187,189,919,-13.0,8,8,1,5,8,8,8,11,8,8,7,8,8,5,9,8,8,8,9,8,8,8,9,8,8,7,100.0,101.4,101.8,103.0,-1.8,-1.5,0.601,1.45,16.1,0.229,0.783,0.514,0.147,0.491,0.539,101.9,100.61,83.84,906,0.502,12,2,8,8,13,12,15,2,4,10,11,10,5,6
1610612743,Denver Nuggets,14,7,7,0.5,692.0,559,1263,0.443,134,389,0.344,276,353,0.782,183,485,668,336,137.0,80,65,66,298,307,1528,26.0,5,5,13,7,5,5,5,8,6,6,6,5,5,7,3,5,5,4,10,6,5,12,12,5,5,6,111.3,113.3,109.5,111.1,1.8,2.2,0.601,2.45,17.6,0.311,0.703,0.505,0.102,0.496,0.539,95.1,93.68,78.06,1349,0.518,2,10,6,9,2,4,2,12,6,2,10,11,15,5
1610612744,Golden State Warriors,22,14,8,0.636,1066.0,904,1895,0.477,268,720,0.372,435,535,0.813,223,730,953,625,328.0,163,125,85,511,490,2511,74.0,2,2,14,3,2,1,2,1,2,2,1,2,2,3,1,2,2,1,16,2,1,14,15,2,2,3,112.3,114.6,108.6,111.5,3.7,3.1,0.691,1.91,20.0,0.301,0.714,0.513,0.15,0.548,0.589,100.9,98.57,82.14,2192,0.536,1,11,4,1,5,1,4,11,5,11,1,1,9,3
1610612745,Houston Rockets,11,6,5,0.545,533.0,409,922,0.444,172,470,0.366,204,267,0.764,106,366,472,201,174.0,94,56,51,238,237,1194,35.0,7,7,10,6,7,7,7,7,5,5,2,7,7,11,7,7,7,7,11,5,7,11,10,7,7,5,107.8,110.5,104.4,107.4,3.4,3.0,0.491,1.16,14.1,0.287,0.687,0.491,0.161,0.537,0.574,99.8,97.26,81.05,1081,0.497,6,6,5,16,16,15,7,15,9,14,2,2,10,7
1610612746,LA Clippers,6,2,4,0.333,288.0,239,535,0.447,69,190,0.363,141,173,0.815,60,181,241,152,90.0,48,20,45,150,155,688,-59.0,10,10,1,10,10,10,10,5,9,9,3,9,9,2,10,10,10,9,8,9,12,10,8,9,10,14,107.3,111.5,119.3,120.5,-12.0,-9.0,0.636,1.69,17.7,0.293,0.714,0.49,0.146,0.511,0.563,105.6,103.08,85.9,617,0.431,3,15,12,3,8,3,6,10,11,9,6,3,2,13
1610612749,Milwaukee Bucks,15,10,5,0.667,730.0,597,1325,0.451,192,571,0.336,306,420,0.729,152,627,779,375,195.0,100,96,71,327,350,1692,132.0,4,3,10,1,4,4,4,4,3,3,9,3,3,14,5,3,3,3,12,4,3,13,13,4,4,1,109.0,110.7,100.2,101.9,8.8,8.8,0.628,1.92,17.8,0.259,0.776,0.526,0.128,0.523,0.56,102.2,100.57,83.81,1528,0.555,4,1,1,4,4,2,11,3,2,6,3,5,6,1
1610612751,Brooklyn Nets,5,1,4,0.2,240.0,192,457,0.42,55,170,0.324,118,146,0.808,56,146,202,96,71.0,38,14,30,114,121,557,-55.0,11,11,1,11,11,11,11,12,10,12,14,11,11,4,12,14,14,13,4,11,15,5,5,11,11,13,103.9,105.7,113.3,115.9,-9.4,-10.2,0.5,1.35,13.8,0.258,0.643,0.441,0.135,0.48,0.534,107.6,105.5,87.92,527,0.413,10,14,14,15,14,16,12,16,16,8,12,12,1,14
1610612753,Orlando Magic,5,1,4,0.2,240.0,161,415,0.388,52,174,0.299,86,111,0.775,48,169,217,95,78.0,33,20,21,94,115,460,-72.0,11,11,1,11,11,14,14,15,11,11,15,14,14,8,14,12,12,14,7,12,12,2,2,13,14,15,93.1,95.8,110.1,111.5,-17.0,-15.7,0.59,1.22,14.7,0.26,0.796,0.505,0.163,0.451,0.496,97.7,95.7,79.75,480,0.399,15,12,15,12,15,13,10,1,7,15,15,14,13,15
1610612754,Indiana Pacers,4,0,4,0.0,192.0,134,334,0.401,40,119,0.336,59,82,0.72,32,129,161,83,48.0,33,14,12,80,78,367,-30.0,15,15,1,15,15,16,16,13,16,16,10,15,15,16,16,15,16,16,2,12,15,1,1,16,16,11,95.1,95.8,101.2,103.9,-6.1,-8.1,0.619,1.73,16.4,0.196,0.737,0.451,0.125,0.461,0.496,97.3,95.63,79.69,383,0.454,16,3,11,6,7,11,16,6,15,5,13,15,14,12
1610612755,Philadelphia 76ers,12,7,5,0.583,576.0,473,1030,0.459,113,341,0.331,245,310,0.79,137,445,582,293,198.0,76,65,41,269,265,1304,36.0,6,5,10,4,6,6,6,3,7,7,11,6,6,6,6,6,6,6,13,7,5,9,11,6,6,4,106.2,109.1,104.5,106.0,1.8,3.1,0.619,1.48,17.5,0.319,0.752,0.541,0.166,0.514,0.559,101.7,99.63,83.02,1195,0.538,9,5,3,5,12,5,1,4,1,16,5,6,7,2
1610612757,Portland Trail Blazers,16,8,8,0.5,793.0,631,1447,0.436,189,525,0.36,304,397,0.766,183,540,723,316,206.0,110,82,94,364,365,1755,-22.0,3,4,14,7,3,3,3,10,4,4,4,4,4,10,3,4,4,5,14,3,4,15,14,3,3,9,106.7,109.5,109.7,110.6,-3.0,-1.1,0.501,1.53,14.6,0.298,0.691,0.491,0.129,0.501,0.541,98.8,97.15,80.96,1603,0.471,8,9,7,14,9,14,5,14,10,7,8,9,11,11
